Genus	Species	1C (pg)
Cucurbita	pepo	0.55
Pyrus	communis	0.55
Raphanus	sativus	0.55
Exochorda	giraldii	0.55
Myriophyllum	alterniflorum	0.55
Trifolium	decorum	0.55
Nymphaea	caerula	0.55
Maranta	leuconeura	0.55
Vitis	monticola	0.55
Vitis	rupestris	0.55
Vitis	aestivalis	0.55
Vitis	thunbergii	0.55
Vitis	yenshanensis	0.55
Brassica	tournefortii	0.55
Sapindus	trifoliatus	0.55
Casuarina	equisetifolia	0.55
Acacia	caffra	0.55
Acacia	nilotica	0.55
Acacia	polycantha	0.55
Lonchocarpus	molinae	0.55
Lonchocarpus	rugosus	0.55
Lonchocarpus	chiangii	0.55
Lonchocarpus	punctatus	0.55
Rosa	arvensis	0.55
Oryza	punctata	0.55
Carex	bostrychostigma	0.55
Lotus	pedunculatus	0.55
Aquilegia	alpina	0.55
Leucaena	trichodes	0.55
Eucalyptus	dunnii	0.55
Pachycladon	novae-zelandiae	0.55
Aeonium	spathulatum	0.55
Bystropogon	canariensis	0.55
Pitcairnia	tabuliformis	0.55
Pitcairnia	micotrinensis	0.55
Amaranthus	albus	0.55
Eucalyptus	globulus	0.55
Trifolium	alexandrinum	0.55
Fagus	sylvatica	0.56
Plantago	webbii	0.56
Trifolium	subterraneum	0.56
Rhamnus	saxatilis	0.56
Potentilla	tommasiniana	0.56
Berrya	cordifolia	0.56
Butea	monosperma	0.56
Pinguicula	gypsicola	0.56
Diplotaxis	siifolia	0.56
Iberis	sempervirens	0.56
Sinapidendron	frutescens	0.56
Aeonium	palmense	0.56
Aeonium	tabulaeforme	0.56
Pitcairnia	aureobrunnea	0.56
Pitcairnia	yaupibajaensis	0.56
Begonia	odorata	0.56
Begonia	coccinea	0.56
Begonia	undulata	0.56
Amaranthus	blitoides	0.56
Eleocharis	quinqueflora	0.56
Penstemon	uintahensis	0.56
Montinia	caryophyllacea	0.57
Castanospermum	australe	0.57
Odontites	lutea	0.57
Parietaria	officinalis	0.57
Lupinus	graecus	0.57
Lupinus	concinnus	0.57
Lobularia	canariensis	0.57
Juncus	biglumis	0.57
Alnus	incana	0.57
Potentilla	malyana	0.57
Penstemon	smallii	0.57
Penstemon	grifinnii	0.57
Escallonia	pulverulenta	0.57
Odontites	verna	0.57
Lupinus	termis	0.57
Lupinus	vavilovi	0.57
Lupinus	microcarpus	0.57
Pericallis	webbii	0.57
Iberis	gibraltarica	0.57
Pitcairnia	riparia	0.57
Begonia	solananthera	0.57
Pistacia	terebinthus	0.57
Prunus	prostrata	0.57
Fedia	pallescens	0.57
Penstemon	cusickii	0.57
