Genus	Species	1C (pg)	Original Reference	Paper
Paronychia	canariensis	1.34	Suda et al., 2003 (Ref. 477)	2011
Hypochaeris	radicata	1.34	Cerbah M et al., 1999 (Ref. 666)	2012
Centaurea	tuberosa	1.35	Siljak-Yakovev et al., 2005 (Ref. 598)	2011
Schiedea	mannii	1.35	Kapralov et al., 2009 (Ref. 684)	2012
Uncinia	meredensis	1.35	Bennett MD, Smith JB, Lewis Smith RI., 1982 (Ref. 105)	1982
Glycine	latrobeana	1.35	Hammatt et al., 1991 (Ref. 165)	1995
Tephrosia	subtriflora	1.35	Raina et al., 1986 (Ref. 183)	1995
Celtis	australis	1.35	Ohri and Kumar, 1986 (Ref. 185)	1995
Senecio	chrysanthemifolius	1.35	Bennett and Smith, 1976 (Ref. 2)	1976
Asparagus	officinalis	1.35	Arumuganathan and Earle, 1991 (Ref. 227)	1995
Crataegus	crus-galli	1.35	Dickson et al., 1992 (Ref. 262)	1995
Hesperoxiphion	peruvianum	1.35	Kenton et al., 1990 (Ref. 268)	1995
Dendrobium	canaliculatum	1.35	Jones et al., 1998 (Ref. 307)	2000
Dendrobium	violaceoflavens	1.35	Jones et al., 1998 (Ref. 307)	2000
Panicum	virgatum	1.35	Hopkins et al., 1996 (Ref. 331)	2000
Annona	glabra	1.35	Morawetz and Samuel, 1998 (Ref. 341)	2000
Peperomia	magnoliaefolia	1.35	Morawetz and Samuel, 1998 (Ref. 341)	2000
Wulfenia	carinthiaca	1.35	Albach & Greilhuber, 2003 (Ref. 478)	2011
Sonchus	gummifer	1.35	Suda et al., 2005 (Ref. 552)	2011
Curcuma	leucorhiza	1.35	Leong-Skornickova et al., 2007 (Ref. 562)	2011
Acer	campestre	1.35	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Acer	pseudoplatanus	1.35	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Cotoneaster	hjelmqvistii	1.35	Jedrzejczyk and Sliwinska, 2010 (Ref. 661)	2012
Hydrangea	anomala	1.36	Cerbah et al., 2001 (Ref. 397)	2005a
Leucaena	diversifolia	1.36	Hartman et al., 2000 (Ref. 425)	2005a
Cicer	songaricum	1.36	Ohri, 1999 (Ref. 435)	2005a
Crataegus	rivularis	1.36	Telent & Dickinson, 2005 (Ref. 527)	2011
Polygala	vayredae	1.36	Castro et al., 2007 (Ref. 550)	2011
Curcuma	longa	1.36	Leong-Skornickova et al., 2007 (Ref. 562)	2011
Crataegus	castlegarensis	1.36	Telent & Dickinson, 2005 (Ref. 527)	2011
Phleum	commutatum	1.36	Kula et al., 2006 (Ref. 542)	2011
Luzula	multiflora	1.37	Bacic et al., 2007 (Ref. 572)	2011
Cotoneaster	divaricatus	1.37	Jedrzejczyk and Sliwinska, 2010 (Ref. 661)	2012
Crataegus	uniflora	1.37	Telent & Dickinson, 2005 (Ref. 527)	2011
